nomeUnidade,classification
"0POSSE - 1ª VARA (CÍVEL, CRIMINAL %u2013 CRIMES EM GERAL E EXECUÇÕES PENAIS, DA INFÂNCIA E DA JUVENTUDE)"," %u2013 | criminal  | juventude | geral | crimes,execucoes | infancia,penais | civel | vara"
"APUCARANA - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," apucarana | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
CEJUSC PRÉ-PROCESSUAL ARACI, araci | solucao  | judicial | conflitos | cidadania | pre | processual | centro
CEJUSC - PRE-PROCESSUAL - POSTO ARACOIABA DA SERRA," aracoiaba | solucao  | judicial | conflitos | cidadania | posto,pre | processual | centro"
"0SÃO MIGUEL DO ARAGUAIA - VARA CIVEL, CRIMINAL, DA INF E DA JUV, DAS FAZ PUBLICAS E DE REG PUB"," araguaia | criminal  | juventude,publico | publicas | registros | fazenda,infancia | civel | vara"
"ARAPONGAS - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," arapongas | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
"ARAPONGAS - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," arapongas | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
 VARA DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE ARARAS, araras | familiar  | mulher | comarca | domestica | violencia | contra | vara
" ARAUCÁRIA - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," araucaria | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
"ARAUCÁRIA - VARA DA INFÂNCIA E DA JUVENTUDE, FAMÍLIA, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," araucaria | extrajudicial  | foro,juventude | corregedoria | familia,registros | infancia | publicos | vara"
"JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA DA COMARCA DE AREIA BRANCA", areia | criminal  | publica | comarca | especial | fazenda | civel | juizado
" ASSAÍ - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," assai | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
"ASSAÍ - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA"," assai | acidentes,extrajudicial  | foro,publica,publica | corregedoria,trabalho | especial,especial,registros | fazenda,fazenda | civel,civel,publicos | juizado,juizado,vara"
" ASTORGA - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," astorga | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
"ASTORGA - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA"," astorga | acidentes,extrajudicial  | foro,publica,publica | corregedoria,trabalho | especial,especial,registros | fazenda,fazenda | civel,civel,publicos | juizado,juizado,vara"
 CEJUSC - PRÉ-PROCESSUAL - POSTO AUTONOMISTAS," autonomistas | solucao  | judicial | conflitos | cidadania | posto,pre | processual | centro"
 CEJUSC - PRE-PROCESSUAL - POSTO SETOR BANCARIO," bancario | setor,solucao  | judicial | conflitos | cidadania | posto,pre | processual | centro"
"BANDEIRANTES - 1ª VARA CÍVEL E DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," bandeirantes | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
"BANDEIRANTES - 1ª VARA CÍVEL E DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," bandeirantes | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
2ª VARA CRIMINAL E DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE BARBACENA," barbacena | criminal,familiar  | mulher | comarca | domestica | violencia | contra | vara"
"FRANCISCO BELTRÃO - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," beltrao | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
"FRANCISCO BELTRÃO - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," beltrao | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
" Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de São Bento do Sul", bento | criminal  | publica | comarca | especial | fazenda | civel | juizado
Juizado Especial Criminal e de Violência Doméstica e Familiar contra a Mulher da Comarca de Blumenau," blumenau | criminal,familiar  | mulher | comarca | domestica,especial | violencia | contra | juizado"
 CEJUSC - Boca do Rio (Pré-Processual), boca | solucao  | judicial | conflitos | cidadania | pre | processual | centro
CURITIBA - 3º JUIZADO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER CASA DA MULHER BRASILEIRA," brasileira | familiar  | mulher,mulher | casa | domestica | violencia | contra | juizado"
 CEJUSC - PRE-PROCESSUAL - POSTO CASA DO CIDADAO BRIGADEIRO TOBIAS," brigadeiro | solucao  | judicial | casa,conflitos | cidadania | posto,pre | processual | centro"
0 CEJUSC - Brotas (Pré-Processual), brotas | solucao  | judicial | conflitos | cidadania | pre | processual | centro
 BUTANTA - CEJUSC - PRE-PROCESSUAL, butanta | solucao  | judicial | conflitos | cidadania | pre | processual | centro
 CEJUSC - Cabula (Pré-Processual), cabula | solucao  | judicial | conflitos | cidadania | pre | processual | centro
 POSTO DO CEJUSC DE CACONDE (PRÉ-PROCESSUAL)," caconde | solucao  | judicial | conflitos | cidadania | posto,pre | processual | centro"
 CEJUSC - São Caetano (Pré-Processual), caetano | solucao  | judicial | conflitos | cidadania | pre | processual | centro
"JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA DA COMARCA DE CAICÓ", caico | criminal  | publica | comarca | especial | fazenda | civel | juizado
0(INATIVO) VARA CRIMINAL E DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER DA COMARCA DE CAICÓ," caico | criminal,familiar  | mulher | comarca | domestica | inativo,violencia | contra | vara"
CEJUSC - Cajazeiras 8 (Pré-Processual), cajazeiras | solucao  | judicial | conflitos | cidadania | pre | processual | centro
 CEJUSC - Cajazeiras 10 (Pré-Processual), cajazeiras | solucao  | judicial | conflitos | cidadania | pre | processual | centro
0 CEJUSC - Calçada (Pré-Processual), calcada | solucao  | judicial | conflitos | cidadania | pre | processual | centro
"2ª VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS E ACIDENTES DE TRABALHO - CAMACARI"," camacari | acidentes,relativos  | feitos | relacoes,trabalho | comerciais | consumo | civeis | vara"
CEJUSC Pré-Processual Camaçari, camacari | solucao  | judicial | conflitos | cidadania | pre | processual | centro
